width: 90, angle: 0, throttle: 0.75, steer: -0.04
width: 110, angle: 0, throttle: 0.92, steer: -0.06
width: 85, angle: 0, throttle: 0.71, steer: 0.02
width: 5, angle: -85, throttle: 0.40, steer: -0.85
width: 5, angle: 0, throttle: 0.40, steer: 0.21
width: 5, angle: 0, throttle: 0.40, steer: 0.20
width: 5, angle: 0, throttle: 0.40, steer: 0.20
width: 10, angle: 0, throttle: 0.40, steer: 0.20
width: 120, angle: 0, throttle: 1.00, steer: 0.00
width: 120, angle: 0, throttle: 1.00, steer: 0.00
width: 115, angle: 0, throttle: 0.96, steer: 0.00
width: 110, angle: 0, throttle: 0.92, steer: 0.00
width: 105, angle: 0, throttle: 0.88, steer: 0.00
width: 100, angle: 0, throttle: 0.83, steer: 0.00
width: 10, angle: -85, throttle: 0.40, steer: -0.85
width: 95, angle: 0, throttle: 0.79, steer: 0.00
width: 10, angle: -85, throttle: 0.40, steer: -0.85
width: 90, angle: 0, throttle: 0.75, steer: -0.04
width: 110, angle: 0, throttle: 0.92, steer: -0.06
width: 90, angle: 0, throttle: 0.75, steer: -0.04
width: 110, angle: 0, throttle: 0.92, steer: -0.06
width: 90, angle: 0, throttle: 0.75, steer: -0.04
width: 85, angle: 0, throttle: 0.71, steer: -0.04
width: 70, angle: 0, throttle: 0.58, steer: 0.01
width: 85, angle: 0, throttle: 0.71, steer: 0.01
width: 100, angle: 0, throttle: 0.83, steer: 0.00
width: 95, angle: 0, throttle: 0.79, steer: 0.00
width: 90, angle: 0, throttle: 0.75, steer: 0.01
width: 85, angle: 0, throttle: 0.71, steer: 0.01
width: 85, angle: 0, throttle: 0.71, steer: 0.02
width: 80, angle: 0, throttle: 0.67, steer: 0.02
width: 75, angle: 0, throttle: 0.62, steer: 0.02
width: 110, angle: 0, throttle: 0.92, steer: 0.00
width: 105, angle: 0, throttle: 0.88, steer: 0.00
width: 100, angle: 0, throttle: 0.83, steer: 0.00
width: 80, angle: 0, throttle: 0.67, steer: 0.01
width: 95, angle: 0, throttle: 0.79, steer: 0.00
width: 90, angle: 0, throttle: 0.75, steer: 0.00
width: 90, angle: 0, throttle: 0.75, steer: 0.00
width: 85, angle: 0, throttle: 0.71, steer: 0.01
width: 85, angle: 0, throttle: 0.71, steer: 0.01
width: 85, angle: 0, throttle: 0.71, steer: 0.01
width: 80, angle: 0, throttle: 0.67, steer: 0.01
width: 80, angle: 0, throttle: 0.67, steer: 0.01
width: 75, angle: 0, throttle: 0.62, steer: 0.01
width: 90, angle: 0, throttle: 0.75, steer: 0.00
width: 80, angle: 0, throttle: 0.67, steer: 0.01
width: 90, angle: 0, throttle: 0.75, steer: 0.00
width: 90, angle: 0, throttle: 0.75, steer: 0.00
width: 90, angle: 0, throttle: 0.75, steer: 0.00
width: 85, angle: 0, throttle: 0.71, steer: 0.00
width: 80, angle: 0, throttle: 0.67, steer: 0.00
width: 80, angle: 0, throttle: 0.67, steer: -0.00
width: 80, angle: 0, throttle: 0.67, steer: -0.01
width: 80, angle: 0, throttle: 0.67, steer: -0.01
width: 80, angle: 0, throttle: 0.67, steer: -0.01
width: 75, angle: 0, throttle: 0.62, steer: -0.01
width: 75, angle: 0, throttle: 0.62, steer: 0.01
width: 75, angle: 0, throttle: 0.62, steer: -0.00
width: 75, angle: 0, throttle: 0.62, steer: -0.01
width: 75, angle: 0, throttle: 0.62, steer: -0.01
width: 75, angle: 0, throttle: 0.62, steer: -0.01
width: 75, angle: 0, throttle: 0.62, steer: -0.01
width: 75, angle: 0, throttle: 0.62, steer: -0.01
width: 75, angle: 0, throttle: 0.62, steer: -0.02
width: 70, angle: 0, throttle: 0.58, steer: -0.03
width: 70, angle: 0, throttle: 0.58, steer: -0.03
width: 70, angle: 0, throttle: 0.58, steer: -0.04
width: 75, angle: 0, throttle: 0.62, steer: 0.01
width: 70, angle: 0, throttle: 0.58, steer: -0.04
width: 70, angle: 0, throttle: 0.58, steer: -0.03
width: 70, angle: 0, throttle: 0.58, steer: -0.04
width: 70, angle: 0, throttle: 0.58, steer: -0.06
width: 70, angle: 0, throttle: 0.58, steer: -0.08
width: 70, angle: 0, throttle: 0.58, steer: -0.09
width: 65, angle: 0, throttle: 0.54, steer: -0.08
width: 65, angle: 0, throttle: 0.54, steer: -0.07
width: 55, angle: 0, throttle: 0.46, steer: -0.04
width: 60, angle: 0, throttle: 0.50, steer: -0.03
